,Year,All ages,0-19,20-39,40-59,60-79,80+
0,1994,8.93,6.380000000000001,5.04,17.96,53.84,294.0
1,1995,9.09,5.5600000000000005,4.9,17.68,54.2,301.16
2,1996,9.14,5.470000000000001,4.53,17.46,54.17,305.28000000000003
3,1997,9.02,5.420000000000001,4.1,17.009999999999998,53.25,302.77
4,1998,9.06,5.280000000000001,3.9800000000000004,16.77,53.03,302.16999999999996
5,1999,9.07,4.96,3.79,16.61,52.56,303.58
6,2000,8.9,5.050000000000001,3.6500000000000004,16.43,50.66,292.74
7,2001,8.85,5.16,3.66,16.28,49.52,286.93
8,2002,8.85,4.6499999999999995,3.51,16.24,48.54,285.4
9,2003,9.07,4.6,3.36,16.14,48.37,296.78000000000003
10,2004,8.31,4.39,3.13,15.290000000000001,44.79,258.90999999999997
11,2005,8.55,4.16,3.0700000000000003,15.24,44.730000000000004,274.67
12,2006,8.31,4.1899999999999995,2.94,14.96,43.21,268.3
13,2007,8.33,4.08,2.8499999999999996,14.620000000000001,42.3,272.43
14,2008,8.46,4.13,2.8,14.45,41.95,277.55
15,2009,8.51,4.22,2.79,14.43,41.0,275.03
16,2010,8.51,3.9499999999999997,2.7199999999999998,14.05,40.629999999999995,259.49
17,2011,8.37,3.7299999999999995,2.63,13.66,39.21,245.13
18,2012,8.71,3.81,2.47,13.36,39.33,254.54000000000002
19,2013,8.66,3.87,2.41,12.92,38.760000000000005,246.95
20,2014,8.44,3.7500000000000004,2.35,12.39,37.5,234.01
21,2015,8.93,3.9699999999999998,2.36,12.440000000000001,38.15,249.78
22,2016,8.91,3.93,2.3,12.08,37.629999999999995,242.96
23,2017,9.06,4.090000000000001,2.27,11.83,37.25,245.81
24,2018,9.08,4.0600000000000005,2.3000000000000003,11.7,36.76,243.67000000000002
25,2019,9.1,4.05,2.3,11.309999999999999,36.3,241.67
26,2020,9.9,3.81,2.2399999999999998,11.55,38.629999999999995,261.43
