,Year,Age_Category,Total_Male,Total_Female,Total_Deaths
0,2017,0-20,2558,1919,4477
1,2017,20-39,6610,3106,9716
2,2017,40-59,48452,26569,75021
3,2017,60-79,196423,128818,325241
4,2017,80+,203713,314095,517808
5,2018,0-20,2656,1900,4556
6,2018,20-39,6536,3193,9729
7,2018,40-59,49004,26709,75713
8,2018,60-79,197634,130347,327981
9,2018,80+,214202,322693,536895
10,2019,0-20,2610,1820,4430
11,2019,20-39,6461,3168,9629
12,2019,40-59,46811,25731,72542
13,2019,60-79,191976,125449,317425
14,2019,80+,218027,317467,535494
15,2020,0-20,2360,1745,4105
16,2020,20-39,6628,3085,9713
17,2020,40-59,47418,25420,72838
18,2020,60-79,194965,125452,320417
19,2020,80+,241426,337073,578499
20,2021,0-20,2466,1796,4262
21,2021,20-39,6715,3137,9852
22,2021,40-59,49337,26108,75445
23,2021,60-79,202301,129319,331620
24,2021,80+,254740,347768,602508
25,2022,0-20,2488,1906,4394
26,2022,20-39,6922,3303,10225
27,2022,40-59,47141,25270,72411
28,2022,60-79,203623,132322,335945
29,2022,80+,272159,371207,643366
