,States,Year,Deaths
0,Alabama,2018,54247
1,Alabama,2019,54024
2,Alabama,2020,64671
3,Alabama,2021,68806
4,Alaska,2018,4280
5,Alaska,2019,4487
6,Alaska,2020,5051
7,Alaska,2021,6094
8,Arizona,2018,59193
9,Arizona,2019,60151
10,Arizona,2020,75671
11,Arizona,2021,81357
12,Arkansas,2018,32237
13,Arkansas,2019,32763
14,Arkansas,2020,37990
15,Arkansas,2021,39962
16,California,2018,268794
17,California,2019,269797
18,California,2020,319781
19,California,2021,333228
20,Colorado,2018,38393
21,Colorado,2019,39296
22,Colorado,2020,46801
23,Colorado,2021,48202
24,Connecticut,2018,31149
25,Connecticut,2019,31665
26,Connecticut,2020,37778
27,Connecticut,2021,34266
28,Delaware,2018,9282
29,Delaware,2019,9154
30,Delaware,2020,10964
31,Delaware,2021,11186
32,District of Columbia,2018,4867
33,District of Columbia,2019,4788
34,District of Columbia,2020,6078
35,District of Columbia,2021,5697
36,Florida,2018,205417
37,Florida,2019,206999
38,Florida,2020,239673
39,Florida,2021,261360
40,Georgia,2018,85172
41,Georgia,2019,85804
42,Georgia,2020,103046
43,Georgia,2021,112261
44,Hawaii,2018,11270
45,Hawaii,2019,11372
46,Hawaii,2020,11855
47,Hawaii,2021,12661
48,Idaho,2018,14147
49,Idaho,2019,14275
50,Idaho,2020,16312
51,Idaho,2021,18228
52,Illinois,2018,109984
53,Illinois,2019,109043
54,Illinois,2020,132607
55,Illinois,2021,124987
56,Indiana,2018,65584
57,Indiana,2019,65905
58,Indiana,2020,78102
59,Indiana,2021,78265
60,Iowa,2018,30284
61,Iowa,2019,30776
62,Iowa,2020,35856
63,Iowa,2021,34105
64,Kansas,2018,27445
65,Kansas,2019,27587
66,Kansas,2020,31973
67,Kansas,2021,31949
68,Kentucky,2018,48585
69,Kentucky,2019,48861
70,Kentucky,2020,55777
71,Kentucky,2021,60188
72,Louisiana,2018,45955
73,Louisiana,2019,45810
74,Louisiana,2020,56651
75,Louisiana,2021,57466
76,Maine,2018,14576
77,Maine,2019,14934
78,Maine,2020,15593
79,Maine,2021,17115
80,Maryland,2018,50458
81,Maryland,2019,50668
82,Maryland,2020,59940
83,Maryland,2021,58012
84,Massachusetts,2018,59041
85,Massachusetts,2019,58534
86,Massachusetts,2020,68153
87,Massachusetts,2021,63007
88,Michigan,2018,98881
89,Michigan,2019,99038
90,Michigan,2020,117049
91,Michigan,2021,117721
92,Minnesota,2018,44625
93,Minnesota,2019,45407
94,Minnesota,2020,52224
95,Minnesota,2021,51531
96,Mississippi,2018,32177
97,Mississippi,2019,32858
98,Mississippi,2020,40089
99,Mississippi,2021,40956
100,Missouri,2018,63028
101,Missouri,2019,62284
102,Missouri,2020,73803
103,Missouri,2021,73756
104,Montana,2018,9875
105,Montana,2019,10288
106,Montana,2020,11903
107,Montana,2021,12604
108,Nebraska,2018,16798
109,Nebraska,2019,16863
110,Nebraska,2020,19443
111,Nebraska,2021,18815
112,Nevada,2018,24625
113,Nevada,2019,25493
114,Nevada,2020,30521
115,Nevada,2021,32817
116,New Hampshire,2018,12668
117,New Hampshire,2019,12612
118,New Hampshire,2020,13572
119,New Hampshire,2021,14047
120,New Jersey,2018,75684
121,New Jersey,2019,74892
122,New Jersey,2020,95889
123,New Jersey,2021,83919
124,New Mexico,2018,18908
125,New Mexico,2019,19405
126,New Mexico,2020,23673
127,New Mexico,2021,25169
128,New York,2018,157130
129,New York,2019,156313
130,New York,2020,203295
131,New York,2021,181343
132,North Carolina,2018,93844
133,North Carolina,2019,95833
134,North Carolina,2020,109388
135,North Carolina,2021,118035
136,North Dakota,2018,6269
137,North Dakota,2019,6506
138,North Dakota,2020,7900
139,North Dakota,2021,7163
140,Ohio,2018,124247
141,Ohio,2019,123690
142,Ohio,2020,143675
143,Ohio,2021,147620
144,Oklahoma,2018,40832
145,Oklahoma,2019,40820
146,Oklahoma,2020,47711
147,Oklahoma,2021,50848
148,Oregon,2018,36095
149,Oregon,2019,37293
150,Oregon,2020,40107
151,Oregon,2021,44915
152,Pennsylvania,2018,134646
153,Pennsylvania,2019,133905
154,Pennsylvania,2020,155507
155,Pennsylvania,2021,155366
156,Rhode Island,2018,9910
157,Rhode Island,2019,10110
158,Rhode Island,2020,11677
159,Rhode Island,2021,11108
160,South Carolina,2018,50539
161,South Carolina,2019,50856
162,South Carolina,2020,61116
163,South Carolina,2021,65302
164,South Dakota,2018,7804
165,South Dakota,2019,8126
166,South Dakota,2020,9696
167,South Dakota,2021,9032
168,Tennessee,2018,70982
169,Tennessee,2019,71818
170,Tennessee,2020,84112
171,Tennessee,2021,91076
172,Texas,2018,202209
173,Texas,2019,203355
174,Texas,2020,250331
175,Texas,2021,267648
176,Utah,2018,18254
177,Utah,2019,18616
178,Utah,2020,21398
179,Utah,2021,22484
180,Vermont,2018,5900
181,Vermont,2019,5824
182,Vermont,2020,6336
183,Vermont,2021,6735
184,Virginia,2018,69277
185,Virginia,2019,70230
186,Virginia,2020,80487
187,Virginia,2021,85850
188,Washington,2018,56755
189,Washington,2019,58163
190,Washington,2020,63032
191,Washington,2021,68591
192,West Virginia,2018,23375
193,West Virginia,2019,23319
194,West Virginia,2020,26002
195,West Virginia,2021,29408
196,Wisconsin,2018,53572
197,Wisconsin,2019,54077
198,Wisconsin,2020,62602
199,Wisconsin,2021,60875
200,Wyoming,2018,4889
201,Wyoming,2019,4941
202,Wyoming,2020,5832
203,Wyoming,2021,6427
