title,today,partial_vaccinated,totally_vaccinated,Precaution Dose,total
Uttar Pradesh,0,177001182,168970582,46040920,392012684
Maharashtra,0,91676968,76630855,9677007,177984830
Bihar,0,73485881,67912592,15894587,157293060
West Bengal,0,73527921,66707912,15864707,156100540
Madhya Pradesh,0,60749467,59233162,13957608,133940237
Gujarat,0,54398703,54032772,19674588,128106063
Tamil Nadu,0,61216968,57222233,9096625,127535826
Karnataka,0,55174970,55392071,11601195,122168236
Rajasthan,0,57035526,51038776,7647530,115721832
Andhra Pradesh,0,44718496,47579795,18746994,111045285
Odisha,0,35250844,33012189,13282927,81545960
Telangana,0,32449231,31566057,13613155,77628443
Kerala,0,29151960,25272768,3088359,57513087
Assam,0,24813013,22150254,3372511,50335778
Chhattisgarh,0,21267795,20343760,7556384,49167939
Punjab,0,24165487,20997308,1893956,47056751
Haryana,0,23681866,19849306,2015741,45546913
Jharkhand,0,23969121,17860835,2045989,43875945
Delhi,0,18298093,15717688,3394281,37410062
Jammu and Kashmir,0,11372601,11768145,1641519,24782265
Uttarakhand,0,9118686,8733098,2291991,20143775
Himachal Pradesh,0,6646550,6328308,2350626,15325484
Tripura,0,2916816,2523858,478323,5918997
Manipur,0,1649669,1339315,280468,3269452
Goa,0,1440045,1295735,138699,2874479
Meghalaya,0,1447037,1087894,91123,2626054
Chandigarh,0,1186210,991385,114913,2292508
Puducherry,0,994720,868155,411595,2274470
Arunachal Pradesh,0,961348,821819,141417,1924584
Mizoram,0,894318,750177,148803,1793298
Nagaland,0,923955,744983,70899,1739837
Sikkim,0,591877,554656,213944,1360477
Andaman and Nicobar Islands,0,347616,353285,290363,991264
Dadra and Nagar Haveli,0,462359,356872,80538,899769
Daman and Diu,0,319994,280090,80207,680291
Ladakh,0,238303,204114,124716,567133
Lakshadweep,0,61813,60525,22975,145313
